Game slug,Epic Games rating,Number of raters, Bayes rating
red-dead-redemption-2,4.90,96851,4.87
satisfactory,4.88,27406,4.79
the-witcher-3-wild-hunt,4.89,13672,4.74
marvels-spider-man-remastered,4.88,13120,4.73
final-fantasy-vii-remake-intergrade,4.85,14699,4.72
hitman-3,4.79,20068,4.71
sid-meiers-civilization-vi,4.73,54432,4.70
grand-theft-auto-v,4.69,546030,4.69
snowrunner,4.76,19816,4.69
genshin-impact,4.69,207540,4.68
hades,4.92,5977,4.68
borderlands-3,4.69,146432,4.68
enter-the-gungeon,4.85,8056,4.68
borderlands-2,4.77,12636,4.67
subnautica,4.83,7325,4.66
sifu,4.80,8828,4.66
batman-arkham-knight,4.82,6926,4.65
farming-simulator-19,4.72,15751,4.65
rise-of-the-tomb-raider,4.69,25747,4.65
god-of-war,4.89,4538,4.65
metro-exodus,4.80,7010,4.65
slime-rancher,4.83,5215,4.64
frostpunk,4.73,10408,4.64
shadow-of-the-tomb-raider,4.65,62714,4.63
bioshock-infinite-complete-edition,4.69,17499,4.63
horizon-zero-dawn-complete-edition,4.77,6661,4.63
detroit-become-human,4.87,3626,4.62
tomb-raider,4.67,19190,4.62
into-the-breach,4.85,3821,4.62
anno-1800,4.83,4064,4.62